,epoch,trn_loss,val_loss,f_2,accuracy,precision,recall,f_1,iou,L_1,L_2
late_add,31.400±6.151,2.879±0.489,2.461±0.275,0.970±0.046,0.976±0.032,0.992±0.009,0.966±0.057,0.978±0.029,0.447±0.027,1.667±0.374,0.295±0.047
early,27.400±10.984,2.782±0.841,2.774±0.844,0.986±0.004,0.981±0.009,0.973±0.017,0.990±0.004,0.981±0.009,0.409±0.145,1.946±0.614,0.336±0.080
late_cat,14.200±4.400,4.355±0.045,4.532±0.370,0.954±0.023,0.966±0.019,0.990±0.013,0.945±0.027,0.967±0.017,0.189±0.060,2.769±0.256,0.454±0.030
