,epoch,trn_loss,val_loss,f_2,accuracy,precision,recall,f_1,iou,L_1,L_2
smooth_L1,31.400±10.557,2.490±0.647,2.387±0.697,0.984±0.009,0.979±0.002,0.972±0.015,0.987±0.015,0.979±0.002,0.492±0.123,1.462±0.504,0.258±0.074
L2,31.400±9.243,2.412±0.697,2.414±0.569,0.979±0.017,0.983±0.009,0.991±0.010,0.976±0.022,0.983±0.009,0.485±0.104,1.531±0.464,0.274±0.074
