,epoch,trn_loss,val_loss,f_2,accuracy,precision,recall,f_1,iou,L_1,L_2
cdrop,32.400±10.538,2.499±0.642,2.471±0.710,0.981±0.011,0.977±0.021,0.964±0.053,0.986±0.012,0.974±0.026,0.488±0.127,1.445±0.514,0.265±0.078
no_cdrop,31.400±5.083,2.263±0.393,2.156±0.296,0.986±0.011,0.981±0.011,0.974±0.012,0.989±0.010,0.981±0.011,0.515±0.074,1.410±0.364,0.246±0.042
