,epoch,trn_loss,val_loss,f_2,accuracy,precision,recall,f_1,iou,L_1,L_2
vector_and_width,29.800±12.139,2.623±0.915,2.616±0.942,0.972±0.025,0.970±0.015,0.968±0.030,0.974±0.035,0.970±0.015,0.447±0.183,1.626±0.773,0.287±0.114
four_points,39.200±1.939,1.843±0.092,1.781±0.229,0.988±0.004,0.979±0.014,0.962±0.032,0.995±0.005,0.978±0.015,0.573±0.027,1.045±0.101,0.199±0.017
two_vectors,27.800±8.232,2.639±0.698,2.475±0.674,0.989±0.009,0.980±0.023,0.969±0.046,0.994±0.005,0.981±0.023,0.481±0.112,1.635±0.525,0.288±0.078
